QueryId,DocumentId,Rank,Score
303,XIE19960709.0116,1,25.42771
303,XIE19970513.0108,2,22.056297
303,APW20000613.0088,3,21.753557
303,APW19990826.0244,4,21.674961
303,APW19990601.0297,5,21.345654
303,APW19990602.0158,6,21.345654
303,NYT19980615.0134,7,21.133047
303,APW19990224.0040,8,19.588072
303,APW19990224.0042,9,19.588072
303,APW19990310.0063,10,19.529295
303,APW19990310.0167,11,19.529295
303,APW19990311.0166,12,19.529295
303,NYT19991115.0396,13,19.502369
303,XIE19980117.0012,14,19.360355
303,NYT19991215.0229,15,19.197464
303,NYT19990310.0503,16,19.166853
303,NYT19990310.0333,17,18.785372
303,NYT19991222.0420,18,18.696486
303,XIE19970221.0084,19,18.380875
303,XIE20000522.0056,20,18.34906
303,APW19990516.0013,21,17.760372
303,APW19990516.0127,22,17.760372
303,NYT19991221.0351,23,17.711807
303,APW19991013.0171,24,17.315933
303,NYT19991223.0360,25,17.300194
303,XIE19990416.0045,26,17.14315
303,APW19990108.0103,27,17.138493
303,APW19990108.0283,28,17.138493
303,APW19991006.0285,29,17.095238
303,XIE19970211.0046,30,17.021238
303,NYT19990107.0373,31,17.005112
303,XIE19990109.0245,32,16.685537
303,XIE19980610.0069,33,16.664482
303,XIE19981010.0047,34,16.657722
303,NYT19991206.0115,35,16.518017
303,XIE19970211.0115,36,16.509901
303,NYT20000602.0093,37,16.48202
303,NYT19981008.0371,38,16.402197
303,NYT20000217.0462,39,16.392334
303,XIE19991228.0201,40,16.252522
303,NYT19981008.0331,41,16.249533
303,APW19990718.0024,42,16.212204
303,NYT19991215.0237,43,16.185188
303,NYT19991222.0449,44,16.172764
303,APW19991006.0154,45,16.149303
303,APW19990428.0195,46,16.097517
303,NYT19991105.0298,47,15.97269
303,APW19990209.0343,48,15.739047
303,APW19990209.0357,49,15.739047
303,APW19990209.0359,50,15.739047
303,APW19990210.0167,51,15.739047
303,APW19990210.0168,52,15.739047
303,APW19990210.0356,53,15.739047
303,APW19990210.0359,54,15.739047
303,NYT19991228.0262,55,15.637426
303,APW19991007.0315,56,15.631389
303,APW19990525.0223,57,15.585144
303,APW19990519.0068,58,15.516555
303,APW19990519.0070,59,15.516555
303,APW19990519.0141,60,15.516555
303,NYT19991115.0309,61,15.454956
303,NYT19990211.0114,62,15.414748
303,APW19990120.0256,63,15.39448
303,NYT20000210.0063,64,15.39448
303,NYT19990909.0337,65,15.300253
303,APW19990414.0120,66,15.282196
303,APW19990414.0141,67,15.282196
303,APW19990414.0198,68,15.282196
303,NYT19991223.0308,69,15.200258
303,NYT19991223.0384,70,15.200258
303,XIE19961108.0181,71,15.191027
303,NYT19990826.0251,72,15.138117
303,NYT20000602.0091,73,15.133792
303,NYT20000602.0092,74,15.133792
303,NYT19990108.0368,75,15.112221
303,NYT19991219.0272,76,14.875179
303,XIE19971008.0082,77,14.850397
303,NYT19991220.0383,78,14.8136635
303,NYT19990719.0430,79,14.687773
303,NYT20000814.0215,80,14.636125
303,APW19990724.0076,81,14.593069
303,APW19980609.1531,82,14.30118
303,APW19990416.0258,83,14.138382
303,APW19990416.0302,84,14.138382
303,APW19990417.0073,85,14.138382
303,APW19990417.0118,86,14.138382
303,NYT19991225.0121,87,14.036644
303,NYT19991225.0122,88,14.036644
303,NYT19991227.0114,89,14.036644
303,NYT19991227.0115,90,14.036644
303,APW19981008.1253,91,14.026039
303,NYT19990718.0148,92,13.907271
303,NYT19990525.0358,93,13.897272
303,NYT19990526.0001,94,13.897272
303,APW19990624.0050,95,13.607933
303,NYT20000529.0117,96,13.580025
303,NYT19990813.0203,97,13.575602
303,NYT19991214.0327,98,13.531441
303,APW19980715.1061,99,13.520138
303,NYT19991213.0349,100,13.444777
303,APW19990909.0053,101,13.413811
303,NYT19980611.0392,102,13.4088125
303,NYT19981019.0198,103,13.386316
303,NYT20000518.0275,104,13.386316
303,NYT19990520.0073,105,13.330752
303,APW19990624.0293,106,13.279226
303,NYT19981123.0242,107,13.186905
303,XIE19980306.0339,108,13.1574545
303,NYT19991216.0309,109,13.082027
303,XIE19960617.0065,110,12.839636
303,NYT19991221.0114,111,12.83903
303,NYT19990927.0283,112,12.607977
303,APW19990812.0160,113,12.546072
303,APW19990108.0269,114,12.437119
303,NYT19991208.0204,115,12.437119
303,NYT19990601.0311,116,12.36444
303,APW19990103.0035,117,12.31384
303,NYT20000725.0429,118,12.31384
303,NYT19990823.0238,119,12.277652
303,NYT19980716.0050,120,12.277652
303,NYT19990809.0281,121,12.263716
303,NYT19990723.0236,122,12.152048
303,NYT19980601.0308,123,12.112091
303,NYT19990607.0234,124,12.104633
303,XIE19980130.0190,125,12.093207
303,NYT20000925.0244,126,12.093207
303,NYT19980701.0228,127,12.090174
303,NYT19990719.0196,128,12.056773
303,NYT19990526.0034,129,12.042987
303,NYT19981029.0400,130,11.998518
303,NYT19991101.0274,131,11.907176
303,NYT19990605.0071,132,11.890932
303,NYT19990605.0072,133,11.890932
303,NYT19990607.0082,134,11.890932
303,NYT19990607.0083,135,11.890932
303,NYT19990120.0443,136,11.86536
303,APW19990917.0064,137,11.720869
303,APW19990824.0166,138,11.720869
