QueryNum, avgTtfTitle, avgTtfBody 
201,6676.5,363876.5
202,4214.0,229032.666667
203,218646.0,8662112.33333
204,94110.5,5736815.5
205,13675.6666667,2318674.33333
206,136200.5,11829549.5
207,57117.5,2861242.0
208,32747.0,2058108.5
209,43071.0,2949511.0
210,82985.0,2999704.5
211,5290.0,2414071.5
212,358505.333333,26641796.6667
213,12109.3333333,508022.666667
214,72676.0,6625534.25
215,194690.75,9344409.0
216,63312.3333333,3062080.33333
217,187160.0,17738164.0
218,68263.6666667,6167668.0
219,227099.25,23071377.0
220,101707.5,5652655.5
221,205645.5,14637450.0
222,19240.5,1483282.5
223,73843.3333333,4322938.0
224,34602.25,5167639.25
225,193337.0,8193680.5
226,197121.5,9468583.0
227,80606.0,24512320.3333
228,7179.66666667,223677.0
229,66922.3333333,1787289.33333
230,201477.0,10066070.6667
231,8266.0,768739.0
232,13728.6,637020.8
233,49888.0,2571456.0
234,147092.5,8016478.5
235,65083.5,2496540.5
236,53246.2,3478694.2
237,4726.0,299083.0
238,28392.25,1599388.5
239,16932.5,734363.0
240,74758.3333333,13062417.3333
241,106752.0,1289569.0
242,8867.0,484181.0
243,22666.5,1519814.0
244,72969.6666667,5144767.33333
245,72589.5,4805592.5
246,90132.8,4813021.8
247,67506.5,5002895.5
248,138276.333333,7237743.66667
249,13578.0,872500.0
250,51767.6666667,4559224.0
251,14744.0,1768910.33333
252,107876.666667,6559993.66667
253,3883.5,218095.0
254,1709.0,106382.5
255,31433.5,1531686.5
256,25090.75,1866415.25
257,28100.6666667,1346463.66667
258,24644.0,1640304.5
259,11967.5,487817.5
260,113983.0,5563704.5
261,13027.5,936116.0
262,13482.5,636336.5
263,27141.5,2276503.5
264,110315.666667,7027081.66667
265,2286.0,164761.0
266,64564.0,4285456.33333
267,32947.6666667,641991.333333
268,71371.0,8613595.0
269,295070.333333,10710666.6667
270,37069.0,2614810.0
271,193058.25,11181168.25
272,62742.5,2747180.0
273,39875.0,2569166.5
274,82310.0,3700261.0
275,6314.0,294987.5
276,172436.2,7978621.6
277,16824.5,953699.0
278,11979.5,587675.5
279,291374.0,13661723.0
280,283557.666667,20290078.6667
281,26518.5,1416015.0
282,17036.0,1263485.0
283,35818.5,2058294.5
284,91203.3333333,8914098.0
285,77324.3333333,4907697.33333
286,50062.6666667,3707483.66667
287,29300.25,1459844.5
288,2417.0,150753.0
289,42152.5,3620560.0
290,5076.5,436183.0
291,120721.5,5806396.25
292,170780.0,8862011.25
293,230334.2,17097788.6
294,150099.5,4575087.0
295,9272.0,489950.666667
296,56194.25,3798583.0
297,7189.0,669880.5
298,150430.75,6482639.25
299,24542.5,1571646.25
300,158919.5,17800756.0
