QueryNum DocId Rank TitleLen BodyLen 
201 clueweb12-1102wb-91-12621 1 3 1631
201 clueweb12-0900wb-35-34759 2 6 31016
201 clueweb12-0906wb-96-33932 3 12 1556
201 clueweb12-0915wb-34-01721 4 10 779
201 clueweb12-0904wb-71-24469 5 6 1734
201 clueweb12-1310wb-04-16486 6 5 933
201 clueweb12-0604wb-40-13236 7 7 4267
201 clueweb12-0906wb-09-33744 8 10 1632
201 clueweb12-0508wb-36-14116 9 2 794
201 clueweb12-0713wb-62-15328 10 6 9226
201 clueweb12-0713wb-53-13641 11 7 5909
201 clueweb12-1806wb-39-29403 12 8 1597
201 clueweb12-1103wb-53-15541 13 10 1104
201 clueweb12-1103wb-89-23937 14 10 1103
201 clueweb12-0914wb-85-31427 15 10 1286
201 clueweb12-0902wb-72-11855 16 13 1150
201 clueweb12-0909wb-96-26247 17 6 2846
201 clueweb12-1602wb-44-05440 18 9 1051
201 clueweb12-1205wb-61-24105 19 9 392
201 clueweb12-0906wb-67-25261 20 12 2777
201 clueweb12-0810wb-64-06846 21 12 764
201 clueweb12-1604wb-20-11054 22 5 355
201 clueweb12-0807wb-93-08686 23 11 564
201 clueweb12-0713wb-73-15316 24 10 8992
201 clueweb12-1313wb-16-00839 25 13 1375
201 clueweb12-1305wb-59-01481 26 11 628
201 clueweb12-0816wb-83-13972 27 10 587
201 clueweb12-0307wb-47-02869 28 3 619
201 clueweb12-1811wb-56-16219 29 6 555
201 clueweb12-0910wb-29-12247 30 12 1991
201 clueweb12-0915wb-07-09887 31 8 1546
201 clueweb12-0000wb-60-01497 32 10 4056
201 clueweb12-0908wb-21-22923 33 15 1325
201 clueweb12-1712wb-90-15515 34 14 496
201 clueweb12-0717wb-19-00907 35 11 640
201 clueweb12-0909wb-73-21528 36 18 1778
201 clueweb12-1211wb-15-11029 37 18 370
201 clueweb12-0909wb-98-12031 38 14 2022
201 clueweb12-1111wb-39-00808 39 15 1550
201 clueweb12-0909wb-35-26187 40 15 580
201 clueweb12-1812wb-36-11474 41 2 313
201 clueweb12-0908wb-98-10600 42 6 636
201 clueweb12-0910wb-65-12168 43 6 635
201 clueweb12-1110wb-37-14389 44 22 558
201 clueweb12-1813wb-82-28702 45 13 591
201 clueweb12-0714wb-00-13547 46 6 742
201 clueweb12-0812wb-17-03044 47 7 683
201 clueweb12-0810wb-71-07709 48 7 683
201 clueweb12-0910wb-34-19151 49 13 1847
