QueryNum DocId Rel TitleLen BodyLen 
1 aldf.1864_12_000027 1 4 3105
1 aller1867_12_000032 0 2 899
1 aller1868_12_000012 0 2 899
1 aller1871_12_000640 0 1 372862
1 arthr0949_12_000945 0 4 992
1 arthr0949_12_000974 1 7 664
1 attra0843_12_000134 0 25 711
1 attra0843_12_000163 0 63 1019
1 attra0843_12_000228 0 15 642
1 attra0843_12_000347 0 46 1471
1 attra0843_12_000382 0 58 1783
1 attra0843_12_000536 0 22 1329
1 attra0843_12_000696 0 28 1135
1 attra0843_12_000855 0 29 1075
1 attra0843_12_001360 0 19 688
1 attra0843_12_001490 0 56 1076
1 baby-2032_12_000032 1 9 1127
1 baby-2032_12_000126 0 9 1591
1 baby-2032_12_000232 1 13 2299
1 babyc2033_12_001372 0 3 2144
1 babyc2035_12_000647 0 5 1180
1 bcbst2065_12_000244 0 3 1228
1 breas2170_12_000170 0 2 583
1 bupa.2183_12_000240 0 15 2194
1 bupa.2183_12_000252 0 13 2194
1 bupa.2183_12_001402 0 17 2115
1 bupa.2183_12_001412 0 15 2115
1 bupa.2183_12_001869 0 13 1818
1 bupa.2183_12_001884 0 11 1818
1 bupa.2183_12_001889 0 14 1368
1 bupa.2183_12_001902 0 15 2115
1 cance0998_12_000001 0 9 760
1 cance2210_12_001270 0 6 1536
1 chkd.2351_12_000199 0 15 1788
1 chkd.2351_12_001669 0 14 1785
1 clini0836_12_056098 0 27 6547
1 clotc2395_12_000140 0 9 2364
1 clotc2395_12_000476 0 9 2364
1 derma2523_12_000637 0 3 504
1 derma2523_12_000658 0 3 480
1 derma2523_12_000674 0 3 504
1 derma2523_12_000714 0 3 504
1 first1181_12_000032 0 5 2320
1 first1181_12_000033 0 5 2448
1 first1181_12_000034 0 5 2218
1 first1181_12_000035 0 5 1998
1 first1181_12_000036 0 5 2000
1 first1181_12_000055 0 16 624
1 first1181_12_000059 0 15 577
1 first1181_12_000170 0 9 1127
1 first1181_12_000175 0 9 1159
1 first1181_12_000191 0 14 590
1 first1181_12_000192 0 14 558
1 first1181_12_000200 0 9 1373
1 first1181_12_000404 0 17 608
1 first1181_12_000421 0 15 519
1 first1181_12_000830 0 16 988
1 fromy1190_12_000614 0 8 2245
1 hairr3061_12_000117 0 10 1437
1 healt3090_12_001617 0 3 4817
1 healt3090_12_001702 0 5 1949
1 healt3132_12_001486 0 1 577974
1 heart3138_12_000039 0 12 1780
1 jfpon3369_12_000265 0 4 1203
1 lupus1314_12_000069 1 7 1050
1 lymph3532_12_000914 0 12 1918
1 lymph3532_12_001146 0 12 1918
1 mayoc3579_12_013573 0 7 1410
1 mayoc3579_12_013575 0 6 1331
1 mayoc3579_12_013576 0 6 1204
1 mayoc3579_12_030178 0 4 1183
1 mayoc3579_12_030180 0 5 1259
1 mayoc3579_12_030181 0 9 1368
1 metho3695_12_000109 0 24 3244
1 metho3695_12_000272 0 23 3603
1 mydr.3757_12_000073 0 11 4571
1 mydr.3757_12_000089 0 8 3337
1 mydr.3757_12_000123 0 12 4572
1 mydr.3757_12_000150 0 11 4024
1 mydr.3757_12_000155 0 12 4572
1 mydr.3757_12_000175 0 9 4223
1 mydr.3757_12_000189 0 10 4202
1 mydr.3757_12_000192 0 8 3744
1 mydr.3757_12_000255 0 10 4202
1 mydr.3757_12_000277 0 9 3383
1 mydr.3757_12_000287 0 8 2789
1 mydr.3757_12_000302 0 9 4357
1 mydr.3757_12_000306 0 11 2933
1 mydr.3757_12_000346 0 8 3790
1 mydr.3757_12_000377 0 8 4386
1 mydr.3757_12_000427 0 10 5137
1 mydr.3757_12_000453 0 9 4032
1 mydr.3757_12_000462 0 9 4072
1 mydr.3757_12_000472 0 8 3382
1 mydr.3757_12_000487 0 11 4024
1 nchea3805_12_000498 0 1 208
1 nchea3806_12_000731 0 1 208
1 nhslo1393_12_013601 0 5 951
1 nhslo1393_12_013755 0 5 993
1 nhslo1393_12_013816 0 4 948
1 nhslo1393_12_013818 0 4 779
