QueryNum, avgTtfTitle, avgTtfBody 
101001,30028.4285714,2166900.28571
101002,14304.0,617226.4
101003,55136.25,5367636.25
101004,15015.2,789025.2
101005,96953.5,3680295.16667
101006,49570.6,3772365.6
102001,97533.5,9133117.75
102002,92403.4,6572408.8
102003,138159.666667,9686412.0
102004,98837.6666667,6230912.16667
102005,114700.857143,12181449.7143
102006,74802.0,5302108.42857
103001,21685.75,2052151.5
103002,88935.0,6175385.33333
103003,23618.0,2215105.25
103004,68339.6,5895120.8
103005,47407.5,8779800.16667
103006,32423.375,3936229.875
104001,74526.6666667,14223693.8333
104002,32044.6666667,4399559.0
104003,32044.6666667,4399559.0
104004,31396.1666667,3772212.66667
104005,28482.6,3386705.6
104006,40463.6666667,9088434.0
105001,69671.5,6636646.66667
105002,89521.0,9987362.33333
105003,35969.0,1612084.0
105004,57610.6666667,5968105.33333
105005,163725.2,26190836.2
105006,108140.5,22389356.75
106001,20981.6,1628290.2
106002,79854.0,5163579.25
106003,176224.25,19486228.5
106004,49518.75,3069002.25
106005,176956.714286,27095334.4286
106006,108794.75,12644912.25
107001,17396.25,3062398.75
107002,42574.0,2613031.33333
107003,2011.0,161975.5
107004,21685.0,3683110.6
107005,36020.0,9046893.0
107006,47665.5,12689118.0
108001,60512.8333333,3847713.0
108002,75584.0,3980504.33333
108003,21506.6666667,2776138.33333
108004,32542.75,4205204.75
108005,127286.25,10641949.5
108006,90060.6666667,15384618.0
109001,75758.0,16198450.4
109002,86510.25,5797755.0
109003,36237.0,4086983.0
109004,74694.75,5717645.5
109005,55991.0,10564047.125
109006,47181.6666667,5629736.5
110001,98015.0,8613392.16667
110002,84316.3333333,4633130.33333
110003,23213.8,1784423.0
110004,24237.6666667,1716944.66667
110005,48550.8333333,7613558.66667
110006,48782.6,3239205.6
111001,42688.8,4886591.0
111002,17091.5,1200318.5
111003,14488.0,811326.5
111004,67873.7142857,3743175.28571
111005,365779.75,52319567.75
111006,32375.75,3483254.33333
112001,64481.0,4395618.0
112002,78863.8,17909897.8
112003,75631.0,5724034.33333
112004,56743.0,6591435.4
112005,60108.125,12949738.875
112006,74476.0,7488996.5
113001,34869.4285714,2124410.0
113002,128818.25,5613556.5
113003,59424.6,6348500.6
113004,21707.6666667,2117229.83333
113005,44444.4,3209682.1
113006,41131.875,3239646.25
114001,59389.5714286,7919637.85714
114002,73313.3333333,9189906.0
114003,102516.5,13566204.5
114004,76223.2857143,8925009.14286
114005,73313.3333333,9189906.0
114006,55395.4,9587796.4
115001,41465.4,5023534.8
115002,68856.3333333,22877065.0
115003,9213.5,535039.5
115004,61551.0,17723102.25
115005,30546.1666667,2973849.33333
115006,24882.75,2858264.5
116001,23861.25,2887868.0
116002,22470.6666667,1680175.66667
116003,36660.0,6865978.66667
116004,21541.2,2267444.2
116005,7382.25,934524.25
116006,42726.6,13281968.0
117001,18024.2857143,1989959.57143
117002,484.0,30978.0
117003,57476.0,3889674.5
117004,29665.0,2414878.0
117005,107404.0,24581541.5
117006,107404.0,24581541.5
118001,38333.8,4540959.0
118002,49500.75,2326958.0
118003,59481.25,2952352.0
118004,36729.0,1827924.75
118005,17163.5,1271184.5
118006,26543.4,1931943.4
119001,10958.6,1078255.2
119002,2799.25,128976.5
119003,3033.0,146674.0
119004,2525.25,106967.25
119005,54454.8461538,11394611.3846
119006,42469.5,6127801.33333
120001,65806.0,4848833.6
120002,84356.25,5807952.75
120003,56285.0,4120025.75
120004,64624.0,5273291.25
120005,76304.6,16080477.0
120006,68097.2857143,12910982.5714
121001,88177.0,11751374.2
121002,27605.75,4440693.5
121003,15402.0,1046223.0
121004,36513.0,2626658.4
121005,29752.6,8333976.1
121006,30090.0,2119497.16667
122001,25567.3333333,3664555.0
122002,79893.1666667,10471815.8333
122003,16402.5,1232832.75
122004,45046.25,4616869.0
122005,134858.0,16406863.5714
122006,19179.0,1929211.0
123001,26130.0,3519654.33333
123002,42806.5,5292522.25
123003,48375.3333333,6180521.66667
123004,48375.3333333,6180521.66667
123005,37674.8,5004997.0
123006,69903.4,5731601.4
124001,32860.5,2149132.5
124002,42216.0,3718774.5
124003,35349.0,3562246.66667
124004,117813.4,10013211.2
124005,22312.25,1947043.25
124006,35324.25,3239577.25
125001,37790.75,2663771.5
125002,69539.5,3132542.66667
125003,53476.0,4310681.5
125004,73094.8,16223673.4
125005,67553.375,12978587.125
125006,50839.4,4707878.8
126001,26711.4,2775574.8
126002,23656.75,3003760.375
126003,57644.0,6384490.0
126004,31186.3333333,2064648.0
126005,57291.3333333,12738880.5
126006,21615.0,2106160.4
127001,43483.8,5724053.0
127002,14590.0,2183969.66667
127003,6874.5,1517556.0
127004,14212.3333333,2193302.33333
127005,243554.6,31409016.8
127006,38576.5,9720434.25
128001,28278.0,2567695.2
128002,3584.0,591798.5
128003,46382.6666667,4626868.0
128004,29620.0,5889828.66667
128005,43770.3333333,4143699.0
128006,65204.0909091,11567741.8182
129001,14000.0,2083533.5
129002,8138.33333333,654364.333333
129003,13207.5,895075.5
129004,16034.0,1196723.8
129005,69758.0833333,13796002.5833
129006,55634.25,8960750.0
130001,42217.3333333,5551938.33333
130002,24570.0,1810425.5
130003,47168.0,7736381.66667
130004,47907.6666667,6146894.0
130005,24991.1666667,3978166.5
130006,37021.0,7372637.625
131001,11059.625,1437197.5
131002,13164.2857143,1234845.57143
131003,31663.9090909,4406214.09091
131004,752.5,71623.5
131005,33475.25,4813799.5
131006,30766.2307692,4437362.76923
132001,44997.8,5653094.4
132002,69079.0,5239532.5
132003,33932.0,2976121.0
132004,126554.6,15337631.6
132005,177228.333333,15423138.0
132006,61604.75,9567600.75
133001,11945.8333333,1178024.5
133002,5782.0,494757.9
133003,112156.0,12599929.0
133004,15004.0,955905.0
133005,38136.4,4490789.8
133006,12804.875,1411094.125
134001,470279.4,33262737.4
134002,376055.0,27094080.3333
134003,15577.0,943716.666667
134004,34953.25,4158594.75
134005,104812.0,13938076.75
134006,49467.4285714,5991204.71429
135001,27949.7142857,2542513.57143
135002,49994.2,4116127.2
135003,3965.0,209253.0
135004,14064.5,943356.0
135005,38080.5,6424103.75
135006,88351.8,5996734.4
136001,99666.0,6864064.5
136002,63662.4,5674303.4
136003,66079.8,5370572.8
136004,26595.8571429,4001707.57143
136005,25818.1111111,3770312.66667
136006,68396.0,6364546.75
137001,45066.5555556,3496593.33333
137002,62263.4285714,4654163.71429
137003,32842.7777778,3124896.55556
137004,39683.75,3837738.0
137005,76918.5555556,8068364.77778
137006,68746.4117647,7592902.88235
138001,40014.4,6258387.2
138002,35238.6666667,3490587.16667
138003,20461.6666667,1601355.0
138004,35968.5,4616457.5
138005,36506.0,7863718.33333
138006,72043.5714286,5062467.85714
139001,59001.0,4853763.0
139002,14530.5,1991467.25
139003,116005.666667,6940686.0
