QueryNum DocId Rel TitleLen BodyLen 
201 clueweb12-0000wb-60-01497 1 10 4056
201 clueweb12-0106wb-18-19516 1 13 5305
201 clueweb12-0108wb-22-26598 0 12 9459
201 clueweb12-0307wb-47-02869 0 3 619
201 clueweb12-0508wb-36-14116 0 2 794
201 clueweb12-0508wb-96-01084 0 5 17491
201 clueweb12-0604wb-40-13236 1 7 4267
201 clueweb12-0605wb-65-13518 1 10 1109
201 clueweb12-0713wb-35-13648 1 3 2172
201 clueweb12-0713wb-53-13641 0 7 5909
201 clueweb12-0713wb-62-15328 0 6 9226
201 clueweb12-0714wb-00-13547 1 6 742
201 clueweb12-0807wb-93-08686 0 11 564
201 clueweb12-0810wb-64-06846 1 12 764
201 clueweb12-0816wb-83-13972 1 10 587
201 clueweb12-0900wb-35-34759 1 6 31016
201 clueweb12-0904wb-53-24192 0 11 2103
201 clueweb12-0904wb-71-24469 1 6 1734
201 clueweb12-0906wb-67-25261 0 12 2777
201 clueweb12-0906wb-96-33932 1 12 1556
201 clueweb12-0908wb-98-10600 1 6 636
201 clueweb12-0909wb-35-26187 0 15 580
201 clueweb12-0909wb-96-26247 0 6 2846
201 clueweb12-0915wb-07-09887 1 8 1546
201 clueweb12-0915wb-34-01721 0 10 779
201 clueweb12-0917wb-66-01171 0 5 97
201 clueweb12-0917wb-70-07272 1 12 680
201 clueweb12-1007wb-48-27054 0 6 214
201 clueweb12-1102wb-91-12621 1 3 1631
201 clueweb12-1103wb-53-15541 1 10 1104
201 clueweb12-1103wb-89-23937 1 10 1103
201 clueweb12-1111wb-41-15778 1 3 507
201 clueweb12-1112wb-75-23347 0 4 1766
201 clueweb12-1116wb-83-04600 -2 5 136
201 clueweb12-1118wb-60-22945 -2 5 34
201 clueweb12-1118wb-73-13359 -2 5 34
201 clueweb12-1118wb-73-16211 0 7 19187
201 clueweb12-1118wb-81-10505 -2 5 34
201 clueweb12-1200wb-88-01667 -2 5 34
201 clueweb12-1200wb-97-12884 -2 5 34
201 clueweb12-1205wb-35-08540 1 3 111
201 clueweb12-1205wb-61-24105 1 9 392
201 clueweb12-1205wb-78-13462 0 3 275
201 clueweb12-1216wb-93-13005 0 9 2424
201 clueweb12-1216wb-96-23057 0 8 2048
201 clueweb12-1310wb-04-16486 1 5 933
201 clueweb12-1602wb-44-05440 1 9 1051
201 clueweb12-1604wb-20-11054 0 5 355
201 clueweb12-1612wb-58-03749 1 12 1284
201 clueweb12-1708wb-38-07075 0 13 14999
201 clueweb12-1708wb-99-01915 0 11 3215
201 clueweb12-1708wb-99-01957 0 11 3302
201 clueweb12-1709wb-51-03892 0 9 2477
201 clueweb12-1709wb-51-03906 0 8 5717
201 clueweb12-1801wb-38-26067 1 10 233
201 clueweb12-1804wb-47-11412 1 4 4544
201 clueweb12-1806wb-39-29403 1 8 1597
201 clueweb12-1811wb-56-16219 1 6 555
201 clueweb12-1812wb-36-11474 0 2 313
202 clueweb12-0002wb-14-02885 0 6 1469
202 clueweb12-0100wb-20-01372 0 1 6399
202 clueweb12-0100wb-98-08558 0 8 6563
202 clueweb12-0102wb-34-14045 0 2 8816
202 clueweb12-0102wb-86-24545 0 6 2743
202 clueweb12-0104wb-10-18886 0 9 3886
202 clueweb12-0104wb-57-26599 0 3 2411
202 clueweb12-0202wb-67-18846 0 7 3237
202 clueweb12-0206wb-61-12908 0 6 715
202 clueweb12-0206wb-76-27846 -2 17 312766
202 clueweb12-0207wb-80-09064 0 5 764
202 clueweb12-0209wb-09-11391 0 11 1042
202 clueweb12-0209wb-80-33566 0 11 1585
202 clueweb12-0211wb-82-16019 0 9 628
202 clueweb12-0212wb-15-25356 0 13 630
202 clueweb12-0303wb-04-08428 0 12 181
202 clueweb12-0305wb-35-13201 0 5 108
202 clueweb12-0403wb-07-17425 0 14 8415
202 clueweb12-0405wb-50-23725 0 9 1798
202 clueweb12-0405wb-59-02836 0 11 2605
202 clueweb12-0502wb-65-22527 0 10 326
202 clueweb12-0502wb-85-19374 0 10 326
202 clueweb12-0503wb-06-01803 0 10 326
202 clueweb12-0506wb-62-22811 0 3 2924
202 clueweb12-0510wb-95-32597 0 15 2426
202 clueweb12-0511wb-25-03910 0 4 1400
202 clueweb12-0601wb-18-11856 0 8 164
202 clueweb12-0602wb-40-19723 0 4 340
202 clueweb12-0603wb-42-04167 -2 5 2527
202 clueweb12-0607wb-10-15590 0 9 400
202 clueweb12-0610wb-53-03244 0 8 569
202 clueweb12-0812wb-52-12005 0 9 1771
202 clueweb12-0812wb-57-24125 0 9 1842
202 clueweb12-0814wb-20-13703 0 14 721
202 clueweb12-0817wb-48-28305 4 11 0
202 clueweb12-0901wb-69-00992 0 8 34561
202 clueweb12-0905wb-62-10264 0 3 4287
202 clueweb12-1002wb-12-01571 0 8 993
202 clueweb12-1006wb-17-21364 0 3 4972
202 clueweb12-1013wb-15-21838 0 6 343
202 clueweb12-1102wb-75-16220 0 2 420
202 clueweb12-1112wb-71-02492 0 2 1434
202 clueweb12-1116wb-12-30914 0 4 608
202 clueweb12-1116wb-59-18964 0 9 347
202 clueweb12-1200wb-95-00626 0 7 994
202 clueweb12-1212wb-02-13082 0 10 154
202 clueweb12-1215wb-33-08369 0 13 870
202 clueweb12-1216wb-41-05666 0 4 1120
202 clueweb12-1217wb-38-28443 0 5 3716
202 clueweb12-1300wb-03-29019 -2 18 508200
202 clueweb12-1300wb-41-17656 0 4 1094
202 clueweb12-1309wb-19-15124 0 3 47459
202 clueweb12-1314wb-40-05225 0 11 227
202 clueweb12-1411wb-81-25737 0 11 6790
202 clueweb12-1412wb-17-24994 0 11 6790
202 clueweb12-1415wb-40-03869 0 6 1141
202 clueweb12-1502wb-88-24992 0 9 8233
202 clueweb12-1701wb-94-12199 0 8 1283
202 clueweb12-1705wb-22-13047 0 3 241
202 clueweb12-1707wb-98-07904 0 5 271
202 clueweb12-1803wb-71-06380 0 18 39678
202 clueweb12-1806wb-88-04355 0 16 1735
202 clueweb12-1807wb-57-22320 0 4 1935
202 clueweb12-1807wb-86-09003 0 1 1052
202 clueweb12-1808wb-46-30774 0 6 1723
202 clueweb12-1809wb-13-29568 0 6 1720
202 clueweb12-1809wb-61-03622 0 10 1849
202 clueweb12-1811wb-97-04637 0 3 5136
202 clueweb12-1909wb-65-23698 0 19 683
202 clueweb12-1910wb-28-14207 0 12 2331
203 clueweb12-0001wb-17-00643 0 11 1955
203 clueweb12-0002wb-05-12516 0 5 1255
203 clueweb12-0002wb-20-08962 0 11 507
203 clueweb12-0002wb-33-15556 0 11 507
203 clueweb12-0002wb-56-15117 0 7 268
203 clueweb12-0003wb-48-11669 0 10 823
203 clueweb12-0006wb-23-14549 0 7 1301
203 clueweb12-0009wb-54-04018 0 7 593
203 clueweb12-0010wb-28-31568 0 13 1149
203 clueweb12-0011wb-30-21099 1 6 1105
203 clueweb12-0011wb-42-20194 0 5 503
